,Russia
4/19/22,8523.0
4/20/22,9078.0
4/21/22,8731.0
4/22/22,8843.0
4/23/22,8671.0
4/24/22,8293.0
4/25/22,7529.0
4/26/22,6998.0
4/27/22,7635.0
4/28/22,7547.0
4/29/22,7590.0
4/30/22,7267.0
5/1/22,6954.0
5/2/22,6122.0
