,US
3/20/22,11450.0
3/21/22,42279.0
3/22/22,24565.0
3/23/22,41026.0
3/24/22,42992.0
3/25/22,46437.0
3/26/22,9433.0
3/27/22,11790.0
3/28/22,38970.0
3/29/22,24178.0
3/30/22,39183.0
3/31/22,45637.0
4/1/22,32218.0
4/2/22,11810.0
4/3/22,4757.0
4/4/22,28913.0
4/5/22,25601.0
4/6/22,40950.0
4/7/22,47387.0
4/8/22,87590.0
4/9/22,12654.0
4/10/22,9459.0
4/11/22,41780.0
4/12/22,35694.0
4/13/22,41566.0
4/14/22,48960.0
4/15/22,35441.0
4/16/22,12321.0
4/17/22,7501.0
4/18/22,61390.0
4/19/22,39245.0
4/20/22,68900.0
4/21/22,59522.0
4/22/22,90019.0
4/23/22,19650.0
4/24/22,12365.0
4/25/22,69238.0
4/26/22,45334.0
4/27/22,88644.0
4/28/22,73346.0
4/29/22,60051.0
4/30/22,23349.0
5/1/22,16153.0
5/2/22,81644.0
